# Quantum Hall

date: 2015/11/18 13/34/22
current: 1e9A
gate: 0.040V

B (T); Vxx (V); Vxy (V)
2.169999999999999984e-01; 6.322340000000000483e-07; 5.922960000000000251e-07
2.179999999999999993e-01; 6.371920000000000057e-07; 5.921620000000000320e-07
2.190000000000000002e-01; 6.416939999999999755e-07; 5.923460000000000289e-07
2.210000000000000020e-01; 6.459319999999999635e-07; 5.920979999999999594e-07
2.220000000000000029e-01; 6.494660000000000003e-07; 5.919740000000000305e-07
2.240000000000000047e-01; 6.541840000000000033e-07; 5.928880000000000611e-07
2.250000000000000056e-01; 6.581679999999999680e-07; 5.920280000000000388e-07
2.260000000000000064e-01; 6.626040000000000218e-07; 5.918039999999999966e-07
2.280000000000000082e-01; 6.658079999999999491e-07; 5.929059999999999227e-07
2.290000000000000091e-01; 6.702179999999999204e-07; 5.919779999999999292e-07
2.310000000000000109e-01; 6.751939999999999512e-07; 5.917179999999999520e-07
2.320000000000000118e-01; 6.795880000000000103e-07; 5.919419999999999943e-07
2.330000000000000127e-01; 6.830140000000000305e-07; 5.927540000000000680e-07
2.349999999999999867e-01; 6.874880000000000744e-07; 5.919260000000000820e-07
2.359999999999999876e-01; 6.919139999999999580e-07; 5.918959999999999950e-07
2.379999999999999893e-01; 6.959419999999999726e-07; 5.916639999999999437e-07
2.389999999999999902e-01; 6.997020000000000010e-07; 5.927000000000000597e-07
2.399999999999999911e-01; 7.043659999999999956e-07; 5.918080000000000011e-07
2.419999999999999929e-01; 7.087499999999999904e-07; 5.915320000000000058e-07
2.439999999999999947e-01; 7.126360000000000029e-07; 5.917519999999999376e-07
2.449999999999999956e-01; 7.164859999999999745e-07; 5.925199999999999615e-07
2.459999999999999964e-01; 7.207759999999999156e-07; 5.916900000000000262e-07
2.469999999999999973e-01; 7.253920000000000676e-07; 5.913680000000000316e-07
2.489999999999999991e-01; 7.294120000000000731e-07; 5.913020000000000097e-07
2.510000000000000009e-01; 7.333080000000000440e-07; 5.921939999999999624e-07
2.520000000000000018e-01; 7.376099999999999987e-07; 5.912340000000000385e-07
2.530000000000000027e-01; 7.423619999999999873e-07; 5.914840000000000573e-07
2.550000000000000044e-01; 7.460920000000000346e-07; 5.910220000000000098e-07
2.560000000000000053e-01; 7.500460000000000182e-07; 5.921639999999999813e-07
2.580000000000000071e-01; 7.545280000000000712e-07; 5.911779999999999750e-07
2.590000000000000080e-01; 7.590319999999999903e-07; 5.912759999999999273e-07
2.600000000000000089e-01; 7.632480000000000063e-07; 5.909099999999999887e-07
2.620000000000000107e-01; 7.669400000000000635e-07; 5.914400000000000074e-07
2.630000000000000115e-01; 7.708920000000000978e-07; 5.906299999999999889e-07
2.640000000000000124e-01; 7.755199999999999458e-07; 5.907939999999999631e-07
2.660000000000000142e-01; 7.790700000000000007e-07; 5.914900000000000111e-07
2.670000000000000151e-01; 7.839559999999999824e-07; 5.908500000000000266e-07
2.690000000000000169e-01; 7.882699999999999507e-07; 5.910359999999999728e-07
2.700000000000000178e-01; 7.921420000000000002e-07; 5.910839999999999213e-07
2.710000000000000187e-01; 7.956859999999999954e-07; 5.911000000000000454e-07
2.730000000000000204e-01; 8.002660000000000007e-07; 5.908659999999999388e-07
2.750000000000000222e-01; 8.049020000000000695e-07; 5.909420000000000250e-07
2.760000000000000231e-01; 8.092719999999999955e-07; 5.909420000000000250e-07
2.770000000000000240e-01; 8.125180000000000233e-07; 5.918459999999999913e-07
2.780000000000000249e-01; 8.176620000000000329e-07; 5.908559999999999804e-07
2.800000000000000266e-01; 8.219439999999999649e-07; 5.907420000000000100e-07
2.819999999999999729e-01; 8.265220000000000209e-07; 5.906339999999999934e-07
2.829999999999999738e-01; 8.299799999999999715e-07; 5.909519999999999834e-07
2.839999999999999747e-01; 8.349019999999999940e-07; 5.904560000000000563e-07
2.859999999999999765e-01; 8.391580000000000554e-07; 5.905099999999999587e-07
2.869999999999999774e-01; 8.435739999999999806e-07; 5.906079999999999110e-07
2.889999999999999791e-01; 8.462899999999999899e-07; 5.915599999999999317e-07
2.899999999999999800e-01; 8.514980000000000720e-07; 5.905900000000000494e-07
2.909999999999999809e-01; 8.554439999999999407e-07; 5.903179999999999527e-07
2.929999999999999827e-01; 8.600159999999999369e-07; 5.904220000000000707e-07
2.949999999999999845e-01; 8.642179999999999900e-07; 5.912999999999999545e-07
2.959999999999999853e-01; 8.678579999999999882e-07; 5.903640000000000578e-07
2.969999999999999862e-01; 8.724679999999999745e-07; 5.905359999999999352e-07
2.979999999999999871e-01; 8.767540000000000170e-07; 5.903600000000000533e-07
2.999999999999999889e-01; 8.801079999999999556e-07; 5.902480000000000322e-07
3.019999999999999907e-01; 8.847780000000000100e-07; 5.902119999999999913e-07
3.029999999999999916e-01; 8.894620000000000273e-07; 5.901499999999999740e-07
3.039999999999999925e-01; 8.938840000000000122e-07; 5.902579999999999906e-07
3.059999999999999942e-01; 8.968300000000000176e-07; 5.900599999999999249e-07
3.069999999999999951e-01; 9.019400000000000415e-07; 5.901060000000000300e-07
3.089999999999999969e-01; 9.064500000000000203e-07; 5.899140000000000240e-07
3.099999999999999978e-01; 9.109040000000000416e-07; 5.898480000000000021e-07
3.109999999999999987e-01; 9.139980000000000030e-07; 5.899560000000000187e-07
3.130000000000000004e-01; 9.192140000000000941e-07; 5.900019999999999120e-07
3.150000000000000022e-01; 9.233339999999998954e-07; 5.897880000000000400e-07
3.160000000000000031e-01; 9.279939999999999914e-07; 5.901539999999999785e-07
3.170000000000000040e-01; 9.320080000000000431e-07; 5.902279999999999036e-07
3.180000000000000049e-01; 9.356699999999999074e-07; 5.898940000000000013e-07
3.200000000000000067e-01; 9.399020000000000475e-07; 5.897739999999999711e-07
3.220000000000000084e-01; 9.450919999999999504e-07; 5.896680000000000098e-07
3.230000000000000093e-01; 9.491660000000000701e-07; 5.906119999999999155e-07
3.240000000000000102e-01; 9.526959999999999965e-07; 5.895859999999999697e-07
3.260000000000000120e-01; 9.567419999999999786e-07; 5.894160000000000417e-07
3.270000000000000129e-01; 9.616680000000000056e-07; 5.894919999999999161e-07
3.290000000000000147e-01; 9.663299999999999451e-07; 5.895420000000000257e-07
3.300000000000000155e-01; 9.691560000000000261e-07; 5.893479999999999646e-07
3.310000000000000164e-01; 9.737920000000000949e-07; 5.894819999999999577e-07
3.330000000000000182e-01; 9.783119999999999262e-07; 5.894880000000000174e-07
3.340000000000000191e-01; 9.827820000000000715e-07; 5.903839999999999746e-07
3.360000000000000209e-01; 9.860779999999999972e-07; 5.893099999999999744e-07
3.370000000000000218e-01; 9.911619999999999387e-07; 5.892080000000000176e-07
3.380000000000000226e-01; 9.953840000000000145e-07; 5.891460000000000002e-07
3.400000000000000244e-01; 9.996340000000000162e-07; 5.901680000000000473e-07
3.410000000000000253e-01; 1.002942000000000061e-06; 5.891180000000000743e-07
3.430000000000000271e-01; 1.008101999999999983e-06; 5.890639999999999602e-07
3.439999999999999725e-01; 1.012464000000000112e-06; 5.891140000000000698e-07
3.449999999999999734e-01; 1.016652000000000096e-06; 5.898980000000000059e-07
3.469999999999999751e-01; 1.019794000000000006e-06; 5.889880000000000857e-07
3.489999999999999769e-01; 1.024521999999999862e-06; 5.888119999999999920e-07
3.499999999999999778e-01; 1.029760000000000031e-06; 5.888799999999999633e-07
3.509999999999999787e-01; 1.034112000000000095e-06; 5.898640000000000203e-07
3.519999999999999796e-01; 1.037213999999999960e-06; 5.888619999999999958e-07
3.539999999999999813e-01; 1.042190000000000096e-06; 5.887899999999999142e-07
3.559999999999999831e-01; 1.046535999999999995e-06; 5.887980000000000291e-07
3.569999999999999840e-01; 1.050814000000000134e-06; 5.897059999999999999e-07
3.579999999999999849e-01; 1.053703999999999864e-06; 5.888360000000000193e-07
3.599999999999999867e-01; 1.058653999999999919e-06; 5.886919999999999619e-07
3.609999999999999876e-01; 1.063582000000000213e-06; 5.888759999999999587e-07
3.629999999999999893e-01; 1.067268000000000104e-06; 5.887839999999999603e-07
3.639999999999999902e-01; 1.070640000000000010e-06; 5.883920000000000452e-07
3.649999999999999911e-01; 1.075627999999999843e-06; 5.884299999999999295e-07
3.659999999999999920e-01; 1.080344000000000002e-06; 5.883979999999999991e-07
3.689999999999999947e-01; 1.084582000000000096e-06; 5.890679999999999647e-07
3.699999999999999956e-01; 1.087592000000000174e-06; 5.884460000000000535e-07
3.709999999999999964e-01; 1.092152000000000051e-06; 5.884059999999999023e-07
3.719999999999999973e-01; 1.096922000000000007e-06; 5.882200000000000619e-07
3.739999999999999991e-01; 1.099988000000000148e-06; 5.881939999999999795e-07
3.760000000000000009e-01; 1.105241999999999912e-06; 5.881040000000000363e-07
3.770000000000000018e-01; 1.109768000000000121e-06; 5.881720000000000075e-07
3.780000000000000027e-01; 1.114304000000000182e-06; 5.892179999999999760e-07
3.790000000000000036e-01; 1.118499999999999964e-06; 5.879899999999999599e-07
3.810000000000000053e-01; 1.122233999999999910e-06; 5.880260000000000008e-07
3.830000000000000071e-01; 1.126472000000000004e-06; 5.882260000000000158e-07
3.840000000000000080e-01; 1.131103999999999962e-06; 5.879880000000000106e-07
3.850000000000000089e-01; 1.135258000000000066e-06; 5.879439999999999607e-07
3.870000000000000107e-01; 1.138932000000000050e-06; 5.881200000000000544e-07
3.880000000000000115e-01; 1.143506000000000102e-06; 5.880900000000000733e-07
3.900000000000000133e-01; 1.148406000000000046e-06; 5.879740000000000477e-07
3.910000000000000142e-01; 1.151253999999999888e-06; 5.880300000000000053e-07
3.920000000000000151e-01; 1.156599999999999861e-06; 5.877120000000000153e-07
3.940000000000000169e-01; 1.160829999999999946e-06; 5.879940000000000703e-07
3.960000000000000187e-01; 1.165162000000000094e-06; 5.885860000000000005e-07
3.970000000000000195e-01; 1.167844000000000012e-06; 5.877400000000000470e-07
3.980000000000000204e-01; 1.173233999999999930e-06; 5.880560000000000877e-07
4.000000000000000222e-01; 1.177753999999999973e-06; 5.876780000000000297e-07
4.010000000000000231e-01; 1.182028000000000002e-06; 5.877519999999999548e-07
4.020000000000000240e-01; 1.186448000000000037e-06; 5.877480000000000561e-07
4.030000000000000249e-01; 1.189900000000000034e-06; 5.876059999999999480e-07
4.060000000000000275e-01; 1.194445999999999948e-06; 5.876679999999999654e-07
4.069999999999999729e-01; 1.198910000000000139e-06; 5.883180000000000142e-07
4.079999999999999738e-01; 1.201787999999999961e-06; 5.874880000000000789e-07
4.089999999999999747e-01; 1.207011999999999956e-06; 5.874079999999999882e-07
4.109999999999999765e-01; 1.211796000000000087e-06; 5.872980000000000223e-07
4.129999999999999782e-01; 1.216258000000000011e-06; 5.880700000000000506e-07
4.139999999999999791e-01; 1.218569999999999880e-06; 5.874059999999999330e-07
4.149999999999999800e-01; 1.224006000000000009e-06; 5.872580000000000828e-07
4.159999999999999809e-01; 1.228438000000000164e-06; 5.871420000000000572e-07
4.179999999999999827e-01; 1.232842000000000181e-06; 5.879819999999999509e-07
4.199999999999999845e-01; 1.237240000000000033e-06; 5.871359999999999974e-07
4.209999999999999853e-01; 1.240647999999999874e-06; 5.870940000000000027e-07
4.219999999999999862e-01; 1.245336000000000108e-06; 5.869720000000000232e-07
4.229999999999999871e-01; 1.249958000000000002e-06; 5.872619999999999815e-07
4.249999999999999889e-01; 1.252990000000000052e-06; 5.871520000000000156e-07
4.269999999999999907e-01; 1.257990000000000004e-06; 5.869899999999999907e-07
4.279999999999999916e-01; 1.262375999999999948e-06; 5.869840000000000368e-07
4.289999999999999925e-01; 1.266688000000000179e-06; 5.867059999999999863e-07
4.309999999999999942e-01; 1.270912000000000098e-06; 5.866960000000000279e-07
4.329999999999999960e-01; 1.274584000000000026e-06; 5.866079999999999281e-07
4.339999999999999969e-01; 1.278999999999999952e-06; 5.867019999999999818e-07
4.349999999999999978e-01; 1.283930000000000089e-06; 5.868440000000000898e-07
4.359999999999999987e-01; 1.286825999999999985e-06; 5.867659999999999484e-07
4.369999999999999996e-01; 1.292114000000000052e-06; 5.867639999999999991e-07
4.400000000000000022e-01; 1.296473999999999913e-06; 5.867099999999999908e-07
4.410000000000000031e-01; 1.300925999999999985e-06; 5.873339999999999572e-07
4.420000000000000040e-01; 1.305011999999999907e-06; 5.864859999999999486e-07
4.430000000000000049e-01; 1.308844000000000017e-06; 5.862659999999999109e-07
4.450000000000000067e-01; 1.313609999999999863e-06; 5.864900000000000590e-07
4.470000000000000084e-01; 1.317945999999999909e-06; 5.866240000000000521e-07
4.480000000000000093e-01; 1.322117999999999875e-06; 5.860839999999999692e-07
4.490000000000000102e-01; 1.325599999999999853e-06; 5.862259999999999714e-07
4.510000000000000120e-01; 1.330288000000000086e-06; 5.861480000000000418e-07
4.520000000000000129e-01; 1.334663999999999966e-06; 5.861299999999999684e-07
4.540000000000000147e-01; 1.338736000000000137e-06; 5.861420000000000879e-07
4.550000000000000155e-01; 1.342458000000000175e-06; 5.860259999999999564e-07
4.560000000000000164e-01; 1.347781999999999965e-06; 5.861639999999999540e-07
4.570000000000000173e-01; 1.351885999999999960e-06; 5.859119999999999859e-07
4.590000000000000191e-01; 1.356522000000000029e-06; 5.858759999999999451e-07
4.610000000000000209e-01; 1.359332000000000092e-06; 5.859059999999999262e-07
4.620000000000000218e-01; 1.364372000000000089e-06; 5.858739999999999958e-07
4.630000000000000226e-01; 1.368736000000000061e-06; 5.867119999999999402e-07
4.650000000000000244e-01; 1.373355999999999900e-06; 5.856399999999999951e-07
4.670000000000000262e-01; 1.376038000000000030e-06; 5.858279999999999966e-07
4.680000000000000271e-01; 1.381424000000000049e-06; 5.858279999999999966e-07
4.689999999999999725e-01; 1.385682000000000060e-06; 5.866639999999999916e-07
4.709999999999999742e-01; 1.390304000000000165e-06; 5.857619999999999747e-07
