# Quantum Hall

date: 2015/11/18 13/44/09
current: 1e9A
gate: 0.080V

B (T); Vxx (V); Vxy (V)
2.510000000000000009e-01; 7.947700000000000156e-07; 7.336480000000000060e-07
2.520000000000000018e-01; 7.993219999999999891e-07; 7.347619999999999457e-07
2.530000000000000027e-01; 8.039479999999999936e-07; 7.333160000000000530e-07
2.550000000000000044e-01; 8.086660000000001024e-07; 7.334059999999999963e-07
2.560000000000000053e-01; 8.130599999999999497e-07; 7.334880000000000363e-07
2.580000000000000071e-01; 8.172680000000000626e-07; 7.334140000000000053e-07
2.590000000000000080e-01; 8.218259999999999900e-07; 7.335359999999999849e-07
2.600000000000000089e-01; 8.266319999999999868e-07; 7.335399999999999894e-07
2.620000000000000107e-01; 8.301420000000001023e-07; 7.337539999999999674e-07
2.640000000000000124e-01; 8.358519999999999595e-07; 7.335800000000000348e-07
2.650000000000000133e-01; 8.402160000000000375e-07; 7.335399999999999894e-07
2.660000000000000142e-01; 8.450119999999999701e-07; 7.334760000000000227e-07
2.670000000000000151e-01; 8.495780000000000124e-07; 7.344940000000000653e-07
2.690000000000000169e-01; 8.538039999999999869e-07; 7.334700000000000688e-07
2.710000000000000187e-01; 8.584439999999999543e-07; 7.335819999999999841e-07
2.720000000000000195e-01; 8.634120000000000819e-07; 7.336579999999999644e-07
2.730000000000000204e-01; 8.679020000000000381e-07; 7.344900000000000608e-07
2.740000000000000213e-01; 8.718060000000000180e-07; 7.333160000000000530e-07
2.760000000000000231e-01; 8.767619999999999202e-07; 7.335599999999999062e-07
2.780000000000000249e-01; 8.813039999999999353e-07; 7.333680000000000061e-07
2.790000000000000258e-01; 8.847459999999999737e-07; 7.344640000000000842e-07
2.800000000000000266e-01; 8.901940000000000103e-07; 7.334779999999999720e-07
2.810000000000000275e-01; 8.951679999999999859e-07; 7.334479999999999910e-07
2.829999999999999738e-01; 8.997039999999999413e-07; 7.332380000000000175e-07
2.839999999999999747e-01; 9.041559999999999073e-07; 7.342939999999999444e-07
2.859999999999999765e-01; 9.080420000000000256e-07; 7.334500000000000462e-07
2.869999999999999774e-01; 9.132459999999999973e-07; 7.332939999999999752e-07
2.889999999999999791e-01; 9.176880000000000049e-07; 7.331540000000000282e-07
2.899999999999999800e-01; 9.213039999999999759e-07; 7.332200000000000501e-07
2.909999999999999809e-01; 9.266119999999999596e-07; 7.332800000000000122e-07
2.929999999999999827e-01; 9.312720000000000556e-07; 7.332440000000000773e-07
2.949999999999999845e-01; 9.362920000000000304e-07; 7.330799999999999972e-07
2.959999999999999853e-01; 9.396440000000000197e-07; 7.329740000000000358e-07
2.969999999999999862e-01; 9.453020000000000297e-07; 7.331779999999999495e-07
2.979999999999999871e-01; 9.499320000000000387e-07; 7.332580000000000402e-07
2.999999999999999889e-01; 9.549040000000000650e-07; 7.330979999999999647e-07
3.019999999999999907e-01; 9.591860000000001029e-07; 7.342140000000000654e-07
3.029999999999999916e-01; 9.633859999999999950e-07; 7.330019999999999617e-07
3.039999999999999925e-01; 9.684939999999999637e-07; 7.329460000000000041e-07
3.059999999999999942e-01; 9.732939999999999008e-07; 7.329000000000000048e-07
3.069999999999999951e-01; 9.776400000000000113e-07; 7.327419999999999845e-07
3.089999999999999969e-01; 9.817859999999998950e-07; 7.329740000000000358e-07
3.099999999999999978e-01; 9.864959999999998889e-07; 7.330460000000000116e-07
3.109999999999999987e-01; 9.915340000000000429e-07; 7.328819999999999315e-07
3.130000000000000004e-01; 9.959620000000000876e-07; 7.329759999999999851e-07
3.140000000000000013e-01; 9.999059999999999011e-07; 7.325760000000000610e-07
3.160000000000000031e-01; 1.004644000000000033e-06; 7.325860000000000194e-07
3.170000000000000040e-01; 1.009573999999999958e-06; 7.327140000000000586e-07
3.180000000000000049e-01; 1.013967999999999911e-06; 7.338819999999999007e-07
3.200000000000000067e-01; 1.018176000000000024e-06; 7.328040000000000019e-07
3.210000000000000075e-01; 1.023010000000000053e-06; 7.327060000000000496e-07
3.230000000000000093e-01; 1.027566000000000031e-06; 7.326839999999999717e-07
3.240000000000000102e-01; 1.032296000000000153e-06; 7.325460000000000799e-07
3.260000000000000120e-01; 1.036058000000000025e-06; 7.324539999999999756e-07
3.270000000000000129e-01; 1.041026000000000153e-06; 7.323619999999999771e-07
3.280000000000000138e-01; 1.046030000000000004e-06; 7.325839999999999642e-07
3.300000000000000155e-01; 1.050482000000000076e-06; 7.335700000000000764e-07
3.310000000000000164e-01; 1.054349999999999909e-06; 7.323619999999999771e-07
3.330000000000000182e-01; 1.059425999999999841e-06; 7.323900000000000089e-07
3.340000000000000191e-01; 1.064152000000000065e-06; 7.324079999999999764e-07
3.350000000000000200e-01; 1.068949999999999947e-06; 7.321359999999999856e-07
3.370000000000000218e-01; 1.072479999999999979e-06; 7.319680000000000068e-07
3.380000000000000226e-01; 1.077673999999999992e-06; 7.322380000000000483e-07
3.400000000000000244e-01; 1.082356000000000060e-06; 7.257879999999999872e-07
3.410000000000000253e-01; 1.085733999999999920e-06; 7.320579999999999501e-07
3.420000000000000262e-01; 1.091309999999999890e-06; 7.322300000000000392e-07
